,GEO_ID,value,MarginOfError,state,county,tract,variable_code,variable_name,variable_category,year_sample
10,1400000US32005001900,0,14,32,005,001900,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
11,1400000US32005002000,85,62,32,005,002000,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
12,1400000US32005002100,22,19,32,005,002100,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
13,1400000US32005002200,98,93,32,005,002200,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
14,1400000US32005002300,62,43,32,005,002300,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
15,1400000US32005002400,22,12,32,005,002400,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
16,1400000US32005002500,37,20,32,005,002500,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
17,1400000US32005990000,0,14,32,005,990000,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
1,1400000US32031000103,22,33,32,031,000103,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
2,1400000US32031000104,35,40,32,031,000104,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
3,1400000US32031000105,0,14,32,031,000105,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
4,1400000US32031000106,5,17,32,031,000106,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
5,1400000US32031000201,84,58,32,031,000201,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
6,1400000US32031000202,58,56,32,031,000202,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
7,1400000US32031000301,159,82,32,031,000301,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
8,1400000US32031000302,32,33,32,031,000302,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
9,1400000US32031000401,100,69,32,031,000401,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
10,1400000US32031000402,97,56,32,031,000402,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
11,1400000US32031000701,81,56,32,031,000701,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
12,1400000US32031000702,0,14,32,031,000702,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
13,1400000US32031000900,297,161,32,031,000900,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
14,1400000US32031001005,80,61,32,031,001005,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
15,1400000US32031001010,164,81,32,031,001010,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
16,1400000US32031001011,105,45,32,031,001011,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
17,1400000US32031001012,73,46,32,031,001012,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
18,1400000US32031001013,129,80,32,031,001013,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
19,1400000US32031001014,79,57,32,031,001014,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
20,1400000US32031001015,137,96,32,031,001015,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
21,1400000US32031001016,34,33,32,031,001016,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
22,1400000US32031001017,0,14,32,031,001017,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
23,1400000US32031001018,148,111,32,031,001018,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
24,1400000US32031001019,63,46,32,031,001019,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
25,1400000US32031001101,120,47,32,031,001101,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
26,1400000US32031001103,108,62,32,031,001103,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
27,1400000US32031001104,91,50,32,031,001104,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
28,1400000US32031001105,139,75,32,031,001105,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
29,1400000US32031001201,55,68,32,031,001201,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
30,1400000US32031001203,143,136,32,031,001203,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
31,1400000US32031001204,26,34,32,031,001204,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
32,1400000US32031001300,70,46,32,031,001300,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
33,1400000US32031001400,17,30,32,031,001400,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
34,1400000US32031001501,140,52,32,031,001501,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
35,1400000US32031001503,105,138,32,031,001503,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
36,1400000US32031001504,45,65,32,031,001504,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
37,1400000US32031001701,101,75,32,031,001701,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
38,1400000US32031001703,104,106,32,031,001703,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
39,1400000US32031001704,83,85,32,031,001704,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
40,1400000US32031001801,36,41,32,031,001801,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
41,1400000US32031001802,41,44,32,031,001802,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
42,1400000US32031001901,100,70,32,031,001901,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
43,1400000US32031001903,73,56,32,031,001903,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
44,1400000US32031001904,206,186,32,031,001904,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
45,1400000US32031002103,111,60,32,031,002103,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
46,1400000US32031002104,26,23,32,031,002104,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
47,1400000US32031002105,108,57,32,031,002105,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
48,1400000US32031002106,150,73,32,031,002106,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
49,1400000US32031002107,99,97,32,031,002107,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
50,1400000US32031002204,125,91,32,031,002204,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
51,1400000US32031002207,213,77,32,031,002207,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
52,1400000US32031002208,247,210,32,031,002208,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
53,1400000US32031002210,138,42,32,031,002210,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
54,1400000US32031002211,147,104,32,031,002211,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
55,1400000US32031002212,32,35,32,031,002212,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
56,1400000US32031002213,345,173,32,031,002213,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
57,1400000US32031002214,91,77,32,031,002214,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
58,1400000US32031002215,137,48,32,031,002215,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
59,1400000US32031002216,74,82,32,031,002216,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
60,1400000US32031002217,125,104,32,031,002217,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
61,1400000US32031002218,280,116,32,031,002218,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
62,1400000US32031002219,137,74,32,031,002219,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
63,1400000US32031002302,192,73,32,031,002302,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
64,1400000US32031002303,14,35,32,031,002303,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
